VZ,Verizon Communications,Communications,VZ:US,&VZ&Verizon Communications.\\,19,48,29,32,40,41,21,17,19,19,21,22,35,22,20,18,48,21,40,31,23,21,17,32,16,48,65
VOD,Vodafone,Communications,VOD:US,&VOD&Vodafone.\\,28,15,25,16,36,26,11,11,7,11,10,14,16,17,11,8,24,7,12,15,5,29,9,17,17,38,53
AMZN,Amazon,Consumer Discretionary,AMZN:US,&AMZN&Amazon.\\,8,15,16,17,19,9,16,27,6,13,17,43,25,22,28,54,33,23,45,55,52,53,42,75,45,48,43
BBY,Best Buy,Consumer Discretionary,BBY:US,&BBY&Best Buy.\\,14,21,7,21,25,20,12,40,19,11,7,22,14,13,11,35,11,11,20,33,14,27,32,44,18,18,10
BMWG,BMW,Consumer Discretionary,BMW:GY,&BMWG&BMW.\\,20,9,13,9,26,13,7,18,18,12,10,4,8,11,5,7,12,6,11,11,31,51,29,46,37,38,43
DAIGN,Daimler AG,Consumer Discretionary,DAI:GY,&DAIGN&Daimler AG.\\,60,47,23,40,29,27,17,48,24,49,17,13,11,18,8,10,15,19,7,15,22,34,54,52,37,37,40
DAL,Delta Airlines,Consumer Discretionary,DAL:US,&DAL&Delta Airlines.\\,27,21,18,25,54,75,24,19,6,18,25,25,23,20,12,14,12,16,19,13,12,29,10,21,22,32,21
EBAY,Ebay,Consumer Discretionary,EBAY:US,&EBAY&Ebay.\\,18,19,15,22,18,19,17,21,12,17,26,12,9,17,15,17,19,17,22,18,17,24,22,31,15,14,8
FIA,Fiat Chrysler,Consumer Discretionary,FIAT:GR,&FIA&Fiat Chrysler.\\,90,85,107,84,57,57,78,364,261,447,100,78,48,38,51,44,52,59,64,44,47,53,88,73,66,70,74
GPS,Gap Inc,Consumer Discretionary,GPS:US,&GPS&Gap Inc.\\,18,12,14,11,13,17,14,15,8,11,15,14,7,12,6,12,16,21,9,26,12,18,18,22,10,18,15
GM,General Motors,Consumer Discretionary,GM:US,&GM&General Motors.\\,114,98,159,130,116,157,164,481,348,569,257,165,112,69,108,118,109,108,87,85,114,142,164,145,106,135,107
HD,Home Depot,Consumer Discretionary,HD:US,&HD&Home Depot.\\,33,32,54,14,18,19,17,10,19,12,15,10,12,14,15,13,11,11,16,7,11,12,13,17,9,14,13
HMC,Honda Motor,Consumer Discretionary,HMC:US,&HMC&Honda Motor.\\,16,8,22,20,20,39,18,61,31,25,21,11,37,25,14,12,58,47,28,24,25,26,27,31,24,22,20
JCP,JC Penney,Consumer Discretionary,JCP:US,&JCP&JC Penney.\\,6,10,13,21,25,19,15,33,11,13,12,13,6,13,18,25,13,13,15,26,13,13,24,19,32,53,64
MCD,McDonald,Consumer Discretionary,MCD:US,&MCD&McDonald.\\,11,18,21,22,26,12,15,25,21,20,11,15,14,17,16,18,14,11,13,14,31,16,14,22,17,11,21
NISSAN,Nissan,Consumer Discretionary,NSANY:US,&NISSAN&Nissan.\\,15,7,11,14,12,22,16,31,19,16,7,5,14,23,13,12,50,29,20,8,24,22,32,29,26,24,24
RENA,Renault,Consumer Discretionary,RNO:FP,&RENA&Renault.\\,20,10,10,10,9,11,8,30,21,8,6,5,9,16,5,5,30,13,10,4,17,10,29,23,24,18,18
SBUX,Starbucks,Consumer Discretionary,SBUX:US,&SBUX&Starbucks.\\,11,10,15,10,17,15,15,7,16,4,8,5,8,11,9,15,25,10,18,11,25,23,11,45,14,24,14
TM,Toyota Motor,Consumer Discretionary,TM:US,&TM&Toyota Motor.\\,65,38,80,66,55,75,60,134,90,72,61,27,166,54,49,28,101,72,52,39,48,43,60,80,46,54,64
TVS,TVS Motor,Consumer Discretionary,TVSL:US,&TVS&TVS Motor.\\,19,19,8,11,22,20,13,24,22,11,11,14,14,11,15,18,9,8,10,11,21,19,16,20,9,6,5
UAL,United Continental Holdings,Consumer Discretionary,UAL:US,&UAL&United Continental Holdings.\\,18,14,11,22,44,59,31,13,12,18,17,17,10,39,15,14,13,12,26,27,18,21,26,31,43,42,29
VOWG_P,Volkswagen AG,Consumer Discretionary,VOW:GR,&VOWG_P&Volkswagen AG.\\,32,11,22,17,32,20,13,44,25,39,60,20,23,13,12,12,26,28,29,24,61,77,93,74,66,59,71
KO,Coca-Cola,Consumer Staples,KO:US,&KO&Coca-Cola.\\,27,32,16,14,18,26,16,15,18,18,14,18,18,16,8,7,14,19,15,7,24,22,22,16,11,20,14
COST,Costco Wholesale,Consumer Staples,COST:US,&COST&Costco Wholesale.\\,9,12,11,17,9,20,7,15,9,18,13,17,16,15,9,12,11,21,13,8,11,7,8,18,5,11,10
PEP,Pepsi,Consumer Staples,PEP:US,&PEP&Pepsi.\\,21,36,30,12,8,16,14,13,9,13,15,16,16,13,8,18,16,12,11,24,20,16,14,15,12,11,13
PG,Procter & Gamble,Consumer Staples,PG:US,&PG&Procter & Gamble.\\,23,20,15,19,18,13,12,9,15,21,17,14,15,30,12,8,22,18,16,12,22,43,20,15,15,17,17
TGT,Target Corp,Consumer Staples,TGT:US,&TGT&Target Corp.\\,18,22,41,31,26,25,21,29,13,19,15,20,22,25,19,40,26,30,27,24,20,21,31,36,9,23,30
WMT,Wal-Mart,Consumer Staples,WMT:US,&WMT&Wal-Mart.\\,81,105,90,87,66,66,59,95,71,63,37,53,39,44,35,69,63,60,55,59,39,102,79,92,59,69,70
BP,British Petroleum,Energy,BP/:LN,&BP&British Petroleum.\\,34,27,11,16,18,31,31,19,16,11,12,11,19,232,283,54,88,58,44,24,50,56,49,75,40,51,47
CVX,Chevron,Energy,CVX:US,&CVX&Chevron.\\,35,26,15,23,25,34,25,46,35,50,32,16,28,30,28,24,18,36,20,12,42,30,37,30,23,27,26
RDSA,Dutch Shell,Energy,RDSA:LN,&RDSA&Dutch Shell.\\,20,7,17,14,17,51,28,20,16,25,12,9,23,32,41,23,20,17,22,19,24,37,38,40,28,27,37
EC,Ecopetrol,Energy,EC:US,&EC&Ecopetrol.\\,16,16,47,41,52,15,36,107,25,35,41,46,81,142,48,98,57,117,115,208,195,198,213,188,110,162,101
XOM,Exxon Mobil,Energy,XON:US,&XOM&Exxon Mobil.\\,70,56,51,50,92,59,43,52,41,56,33,35,29,48,37,38,34,36,41,24,44,57,35,53,31,53,37
AXP,American Express,Financials,AXP:US,&AXP&American Express.\\,5,12,10,25,33,21,26,34,35,71,35,22,16,11,8,11,11,13,13,15,12,11,14,14,7,13,7
AIG,American International Group,Financials,AIG:US,&AIG&American International Group.\\,11,12,15,37,32,55,270,198,336,141,130,101,126,117,94,62,70,37,42,19,38,48,40,46,35,41,35
BAC,Bank of America,Financials,BAC:US,&BAC&Bank of America.\\,129,173,162,276,289,197,420,289,348,307,212,197,150,135,154,240,192,168,300,207,193,215,231,165,167,190,221
BMO,Bank of Montreal,Financials,BMO:US,&BMO&Bank of Montreal.\\,9,5,9,12,12,9,14,14,23,17,12,11,14,14,27,12,14,12,10,17,18,14,12,14,11,10,14
BK,Bank of New York Mellon,Financials,BK:US,&BK&Bank of New York Mellon.\\,35,46,32,16,31,16,19,44,28,41,25,36,24,10,19,15,25,26,33,38,35,33,25,20,34,40,28
BCS,Barclays,Financials,BCS:US,&BCS&Barclays.\\,16,49,45,11,17,22,37,53,36,24,24,12,19,17,22,19,21,20,34,18,17,49,141,61,68,48,64
BRKA,Berkshire Hathaway,Financials,BKR/A:US,&BRKA&Berkshire Hathaway.\\,16,36,11,24,52,45,37,56,43,53,28,23,44,51,20,21,52,51,44,25,21,49,16,17,43,41,20
BX,Blackstone,Financials,BX:US,&BX&Blackstone.\\,41,66,55,27,56,21,23,18,19,16,15,21,16,12,29,13,25,17,14,26,14,24,38,31,25,53,24
BNPP,BNP,Financials,BNPP:US,&BNPP&BNP.\\,15,8,38,19,88,23,41,88,37,22,26,25,26,30,58,30,43,41,94,83,49,53,45,34,41,38,30
CS,Credit Suisse,Financials,CS:US,&CS&Credit Suisse.\\,116,109,78,199,149,137,205,251,262,157,132,118,106,102,124,105,123,125,171,111,164,136,162,134,118,121,124
DBKGN,Deutsche Bank,Financials,DBK:GR,&DBKGN&Deutsche Bank.\\,43,60,64,96,67,109,104,93,92,57,57,57,63,87,95,74,93,99,146,136,95,113,143,115,124,106,128
FMCC,Federal Home Loan Mortgage Corp,Financials,FHL:GR,&FMCC&Federal Home Loan Mortgage Corp.\\,7,4,31,40,73,29,462,116,62,36,34,25,30,28,40,45,43,22,48,23,40,26,26,21,16,28,50
GS,Goldman Sachs,Financials,GS:US,&GS&Goldman Sachs.\\,199,182,203,298,303,297,398,364,266,280,205,221,228,349,270,200,299,288,303,305,280,396,262,253,230,257,303
HSBA,HSBC,Financials,HSBA:LN,&HSBA&HSBC.\\,40,32,56,51,55,31,62,58,53,22,24,57,39,29,69,40,41,52,108,63,76,83,116,90,80,106,86
ING,ING Groep,Financials,ING:US,&ING&ING Groep.\\,18,4,13,15,23,22,19,51,9,13,23,27,16,10,23,23,26,36,42,45,41,60,68,45,24,23,23
JPM,JP Morgan,Financials,JPM:US,&JPM&JP Morgan.\\,126,114,115,150,297,237,277,246,195,218,169,140,141,139,115,152,194,159,177,189,200,309,200,186,166,169,273
KKR,KKR,Financials,KKR:US,&KKR&KKR.\\,20,51,30,4,7,6,20,6,4,11,12,13,8,4,19,19,18,18,10,25,14,27,28,20,17,29,26
LEHMQ,Lehman,Financials,LEHMQ:US,&LEHMQ&Lehman.\\,47,61,83,65,141,200,663,258,96,105,146,62,80,139,66,70,74,96,138,131,70,66,82,36,38,57,51
MA,MasterCard,Financials,MA:US,&MA&MasterCard.\\,5,11,12,15,12,14,9,16,4,24,15,4,4,19,8,25,14,16,11,14,12,8,29,10,8,16,5
MS,Morgan Stanley,Financials,MS:US,&MS&Morgan Stanley.\\,15,13,11,21,15,7,39,31,4,13,10,17,24,19,18,26,25,23,35,27,29,49,31,33,30,26,33
RY,Royal Bank of Canada,Financials,RY:US,&RY&Royal Bank of Canada.\\,11,8,14,14,26,20,36,27,23,18,27,22,20,30,37,28,30,29,44,30,31,48,41,41,30,32,33
RBS,Royal Bank of Scotland,Financials,RBS:LN,&RBS&Royal Bank of Scotland.\\,5,62,55,46,49,66,44,100,86,30,35,60,44,41,50,28,38,46,58,49,76,54,91,63,84,85,84
SOCGEN,Societe Generale,Financials,GLE:FP,&SOCGEN&Societe Generale.\\,4,5,4,11,183,14,17,27,23,16,20,13,18,18,29,11,25,29,80,48,24,41,23,22,18,33,31
UBSN,UBS,Financials,USBG:SW,&UBSN&UBS.\\,80,71,84,171,180,191,204,192,158,100,154,83,98,97,80,106,95,89,206,112,100,126,168,179,129,135,139
WFC,Wells Fargo,Financials,WFC:US,&WFC&Wells Fargo.\\,17,21,27,27,26,24,61,119,87,118,52,49,57,23,35,48,71,44,59,54,71,75,62,63,64,66,64
JNJ,Johnson & Johnson,Healthcare,JNJ:US,&JNJ&Johnson & Johnson.\\,8,27,19,8,15,14,12,12,22,24,24,12,8,10,13,11,11,16,9,7,18,17,17,8,8,18,12
PFE,Pfizer,Healthcare,PFE:US,&PFE&Pfizer.\\,18,19,15,17,17,20,18,13,41,23,19,13,18,12,12,17,16,16,24,20,14,22,16,22,13,22,24
EAD,Airbus SE,Industrials,EAD:FP,&EAD&Airbus SE.\\,43,34,17,41,67,42,60,16,20,34,22,19,32,24,41,41,47,50,41,42,48,33,112,136,57,105,70
BA,Boeing,Industrials,BA:US,&BA&Boeing.\\,101,60,57,66,102,79,121,74,43,83,66,53,69,80,114,65,105,89,75,87,72,69,130,131,264,222,160
CAT,Caterpillar,Industrials,CAT:US,&CAT&Caterpillar.\\,14,15,28,20,23,17,20,27,27,21,28,24,28,41,19,30,32,18,29,20,24,23,32,20,20,16,14
FDX,FedEx,Industrials,FDX:US,&FDX&FedEx.\\,19,6,6,13,5,17,7,12,11,9,12,14,15,14,11,9,10,6,10,15,10,9,30,22,11,8,11
GE,General Electric,Industrials,GE:US,&GE&General Electric.\\,79,95,84,61,86,89,112,215,223,242,194,145,80,54,102,93,104,79,101,75,108,121,115,118,85,118,110
UPS,United Parcel Service,Industrials,UPS:US,&UPS&United Parcel Service.\\,15,7,4,10,5,16,11,8,4,6,7,5,17,9,14,7,9,7,15,10,20,5,17,18,12,9,12
UTX,United Technologies,Industrials,UTX:US,&UTX&United Technologies.\\,9,8,16,14,13,13,21,16,16,19,16,14,15,8,18,19,15,18,16,19,15,16,36,20,25,30,20
AA,Alcoa,Materials,AA:US,&AA&Alcoa.\\,32,63,50,31,69,60,42,29,36,40,40,58,48,42,38,27,26,28,29,57,43,57,48,44,54,40,47
BLT,BHP,Materials,BLT:LN,&BLT&BHP.\\,11,17,8,40,49,11,13,43,14,22,27,5,20,13,111,86,28,10,12,12,19,22,29,22,9,5,17
ISM,Inspiration Mining,Materials,IRMGF:US,&ISM&Inspiration Mining.\\,22,31,21,23,31,23,31,35,20,22,37,34,37,26,31,34,37,39,37,21,25,27,25,22,20,27,28
RIO,Rio Tinto,Materials,RIO:US,&RIO&Rio Tinto.\\,12,21,25,54,62,13,11,49,31,32,61,10,38,16,33,31,25,17,10,11,16,16,14,14,7,9,16
AAPL,Apple,Technology,AAPL:US,&AAPL&Apple.\\,90,81,90,78,93,76,95,70,107,106,81,85,128,155,161,116,176,124,177,149,209,255,240,222,166,165,181
BBRY,BlackBerry,Technology,BB:US,&BBRY&BlackBerry.\\,6,21,7,23,22,18,18,14,14,30,27,21,15,25,69,12,20,23,16,26,29,28,14,9,15,5,29
CEOS,CeCors,Technology,CEOS:US,&CEOS&CeCors.\\,7,12,9,5,14,18,19,47,37,17,10,9,14,16,21,24,27,16,24,24,28,30,17,51,34,28,25
CSCO,Cisco,Technology,CSCO:US,&CSCO&Cisco.\\,34,23,11,26,15,15,18,17,35,31,31,22,20,14,39,22,25,21,20,10,22,17,15,23,9,9,12
ERICB,Ericsson,Technology,ERICB:US,&ERICB&Ericsson.\\,12,12,16,13,18,10,18,16,20,12,29,16,5,10,10,4,5,10,6,10,14,10,9,11,6,7,8
GARTNER,Gartner,Technology,IT:US,&GARTNER&Gartner.\\,6,5,16,7,6,9,12,10,13,7,13,8,6,25,15,16,14,17,14,7,13,19,9,15,9,10,17
GOOG,Google,Technology,GOOGL:US,&GOOG&Google.\\,59,83,51,93,118,148,85,60,64,57,79,65,104,78,89,95,82,101,106,70,70,158,116,100,78,94,80
HPQ,Hewlett Packard,Technology,HPQ:US,&HPQ&Hewlett Packard.\\,33,24,26,37,36,35,25,23,40,46,26,33,24,42,82,31,39,23,62,25,25,35,39,49,33,26,23
IBM,IBM,Technology,IBM:US,&IBM&IBM.\\,29,44,31,43,39,36,32,32,59,57,46,59,46,30,50,26,35,28,41,38,31,25,33,42,30,34,42
INTC,Intel,Technology,INTC:US,&INTC&Intel.\\,47,22,27,26,43,40,16,43,47,49,51,58,47,30,64,24,51,42,30,28,22,30,35,32,32,25,19
