AXP,American Express,Financial Services Sector
BA,British Airways,Industrials Sector
AAPL,Apple,Technology Sector
BK,Bank of New York Mellon,Financial Services Sector
BP,British Petroleum,Energy Sector
BX,Blackstone,Financial Services Sector
GM,General Motors,Industrials Sector
SAMSUNG ELECTRONICS,Samsung,Technology Sector
DBKGN,Deutsche Bank,Financial Services Sector
RY,Royal Bank of Canada,Financial Services Sector
UAW,UAW,Industrials Sector
RIO,Rio Tinto,Basic Materials Sector
SOCGEN,Societe Generale,Financial Services Sector
UAL,United Continental Holdings,Industrials Sector
PFE,Pfizer,Healthcare Sector
GS,Goldman Sachs,Financial Services Sector
WMT,Wal-Mart,Retail Sector
GE,General Electric,Industrials Sector
FIA,Fiat Chrysler,Industrials Sector
VOWG_P,Volkswagen AG,Industrials Sector
AMZN,Amazon,Technology Sector
GPS,Gap Inc,Retail Sector
BRKA,Berkshire Hathaway,Financial Services Sector
SNE,Sony,Technology Sector
UBSN,UBS,Financial Services Sector
JUSRX,JPMorgan U.S. Equity Fund Class R5,Financial Services Sector
NISSAN,Nissan,Industrials Sector
JNJ,Johnson & Johnson,Healthcare Sector
EAD,EAD,Financial Services Sector
AA,Alcoa,Basic Materials Sector
BNPP,BNP,Financial Services Sector
CEOS,CeCors,Communication Services Sector
FDX,FedEx,Industrials Sector
HD,Home Depot,Retail Sector
SBUX,Starbucks,Retail Sector
BMO,Bank of Montreal,Financial Services Sector
LEHMQ,Lehman,Financial Services Sector
PG,Procter & Gamble,Retail Sector
BCS,Barclays,Financial Services Sector
HMC,Honda Motor,Industrials Sector
BLT,BHP Billiton,Basic Materials Sector
ERICB,Ericsson,Technology Sector
EC,Ecopetrol,Energy Sector
YHOO,Yahoo,Technology Sector
UPS,United Parcel Service,Industrials Sector
ECB,ECB,Financial Services Sector
VOD,Vodafone,Communication Services Sector
NOK,Nokia,Technology Sector
KKR,KKR,Financial Services Sector
MS,Morgan Stanley,Financial Services Sector
ING,NG Groep,Financial Services Sector
PEP,Pepsi,Retail Sector
COST,Costco Wholesale,Retail Sector
ISM,Inspiration Mining,Basic Materials Sector
UTX,United Technologies,Industrials Sector
MSFT,Microsoft,Technology Sector
TVS,TVS Motor,Industrials Sector
WFC,Wells Fargo,Financial Services Sector
GARTNER,Gartner,Financial Services Sector
RENA,Renault,Industrials Sector
RDSA,Dutch Shell,Energy Sector
BBY,Best Buy,Retail Sector
CS,Credit Suisse,Financial Services Sector
MA,MasterCard,Financial Services Sector
KO,Coca-Cola,Retail Sector
EBAY,Ebay,Technology Sector
IBM,IBM,Technology Sector
CVX,Chevron,Energy Sector
CSCO,Cisco,Technology Sector
CAT,Caterpillar,Industrials Sector
BAC,Bank of America,Financial Services Sector
AIG,American International Group,Financial Services Sector
TGT,Target Corp,Retail Sector
DAL,Delta Airlines,Industrials Sector
TM,Toyota Motor,Industrials Sector
GOOG,Google,Technology Sector
JCP,JC Penney,Retail Sector
INTC,Intel,Technology Sector
BBRY,BlackBerry,Technology Sector
HPQ,Hewlett Packard,Technology Sector
RBS,Royal Bank of Scotland,Financial Services Sector
HSBA,HSBC,Financial Services Sector
VZ,Verizon Communications,Communication Services Sector
XOM,Exxon Mobil,Energy Sector
FMCC,Federal Home Loan Mortgage Corp,Financial Services Sector
MCO,Moody 's Inc,Financial Services Sector
BMWG,BMW,Industrials Sector
JPM,JP Morgan,Financial Services Sector
MCD,McDonald,Retail Sector
DAIGN,Daimler AG,Industrials Sector
